tid,did,name,Comments,Year,License,Potential issue,Domain,Required split,Relevant task,Reference,Original Source ,"Include 
(Andrej)",Explanation (Andrej),"Include 
(Lennart)",Explanation (Lennart),Final Decision ,Benchmark,task_type,status,estimation_procedure,evaluation_measures,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
2,2,anneal,"Not much is known, might be legit; likely from steel production (annealing) as most attributes point to chemical components ",1990,,Outdated,Tabular,random,Maybe,https://archive.ics.uci.edu/dataset/3/annealing,10.24432/C5RW2F,No,"Not in TabRepo, so likely trivial",Maybe,"As long as it is not trivial, this seems to be a legit dataset.",Yes,Tabular,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,684.0,7.0,8.0,5.0,39.0,898.0,898.0,22175.0,6.0,33.0,,,,,,,,
6,6,letter,Numerical features extracted from images of letters; also includes data augmentation of the images,1991,,Image domain,Image,-,No,"P. W. Frey and D. J. Slate. ""Letter Recognition Using Holland-style Adaptive Classifiers"". Machine Learning 6(2), 1991",https://archive.ics.uci.edu/dataset/59/letter+recognition,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,813.0,26.0,734.0,26.0,17.0,20000.0,0.0,0.0,16.0,1.0,,,,,,,,
11,11,balance-scale,generated data to model a pyschological experiment,1976,,"trivial, artificial, determinisitc",Artificial,-,No,"Siegler, R. (1976). Balance Scale [Dataset]. UCI Machine Learning Repository. https://doi.org/10.24432/C5488X.",https://archive.ics.uci.edu/dataset/12/balance+scale,No,Artificial,No,Artificial,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,class,288.0,3.0,49.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0,,,,,,,,
15,15,breast-w,"Nowadays solved differently, domain features extracted from images",1995,,"Maybe Image domain, outdated","Image, tabular if radiometrics ",random,No,"This breast cancer database was obtained from the University of Wisconsin Hospitals, Madison from Dr. William H. Wolberg. If you publish results when using this database, then please include this information in your acknowledgments. Also, please cite one or more of:

O. L. Mangasarian and W. H. Wolberg: ""Cancer diagnosis via linear programming"", SIAM News, Volume 23, Number 5, September 1990, pp 1 & 18.

William H. Wolberg and O.L. Mangasarian: ""Multisurface method of pattern separation for medical diagnosis applied to breast cytology"", Proceedings of the National Academy of Sciences, U.S.A., Volume 87, December 1990, pp 9193-9196.

O. L. Mangasarian, R. Setiono, and W.H. Wolberg: ""Pattern recognition via linear programming: Theory and application to medical diagnosis"", in: ""Large-scale numerical optimization"", Thomas F. Coleman and Yuying Li, editors, SIAM Publications, Philadelphia 1990, pp 22-30.

K. P. Bennett & O. L. Mangasarian: ""Robust linear programming discrimination of two linearly inseparable sets"", Optimization Methods and Software 1, 1992, 23-34 (Gordon & Breach Science Publishers).",https://archive.ics.uci.edu/dataset/15/breast+cancer+wisconsin+original,No,Image,No,"Image, Outdated Tabular Problem",No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,458.0,2.0,241.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0,,,,,,,,
24,24,mushroom,New knowledge about mushrooms likely is available nowadays; dataset from a book (I guess);,1981,,trivial,Tabular,random,No,10.24432/C5959T,Audobon Society Field Guide,No,Trivial,No,Trivial,No,Scientific Discovery,Supervised Classification,active,10-fold Crossvalidation,,class,4208.0,12.0,3916.0,2.0,23.0,8124.0,2480.0,2480.0,0.0,23.0,,,,,,,,
26,26,nursery,"Data was derived from a hierarchical decision model, likely trivial as samples cover all possible values; also originally a regression task; no ground truth that the label is truely correct and that it would have been a bad idea to admint an applicant",1989,,"Outdated, Simulated, ethical issues as reproduces biases and include sensetive attributes in the decision process ",Simulated,-,Maybe,https://www.academia.edu/16670755/An_application_for_admission_in_public_school_systems,https://archive.ics.uci.edu/dataset/76/nursery and 10.24432/C5P88W,No,Simulated,No,Simulated/Ethical ,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,4320.0,5.0,2.0,5.0,9.0,12960.0,0.0,0.0,0.0,9.0,,,,,,,,
28,28,optdigits,Yet another handwritten digits dataset…,1995,,Image domain,Image,-,No,https://ieeexplore.ieee.org/document/155943,https://archive.ics.uci.edu/dataset/80/optical+recognition+of+handwritten+digits 10.24432/C50P49,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,572.0,10.0,554.0,10.0,65.0,5620.0,0.0,0.0,64.0,1.0,,,,,,,,
30,30,page-blocks,"Grouped data, random splits may be inappropriate; meta-features extract from images rely on the original image algorithm, and RLSA ",1995,,Image domain,Image,Grouped,No,https://archive.ics.uci.edu/dataset/78/page+blocks+classification,https://archive.ics.uci.edu/dataset/78/page+blocks+classification 10.24432/C5J590,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,class,4913.0,5.0,28.0,5.0,11.0,5473.0,0.0,0.0,10.0,1.0,,,,,,,,
32,32,pendigits,"Yet another handwritten digits dataset…, Grouped data, random splits may be inappropriate, either image or weird sensor data, outdated anyway; used resampling to create fixed lenght feature vectors",1998,,Other domain,"Image, Pixel Sensors",Grouped,No,https://archive.ics.uci.edu/dataset/81/pen+based+recognition+of+handwritten+digits,https://archive.ics.uci.edu/dataset/81/pen+based+recognition+of+handwritten+digits 10.24432/C5MG6K,No,Image,No,"Image, heavily preprocessed to fit tabular format",No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,1144.0,10.0,1055.0,10.0,17.0,10992.0,0.0,0.0,16.0,1.0,,,,,,,,
37,37,diabetes,"Rather interpretability than predictive performance task, nowadays done differently",1988,,Outdated,Tabular,random,Maybe,"Smith, J.W., Everhart, J.E., Dickson, W.C., Knowler, W.C., & Johannes, R.S. (1988). Using the ADAP learning algorithm to forecast the onset of diabetes mellitus. In Proceedings of the Symposium on Computer Applications and Medical Care (pp. 261--265). IEEE Computer Society Press.",Missing / https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database 10.24432/C5T59G,Yes,"Fits our criteria, but TabRepo resutls for this dataset are pretty random as there are only 768 samples",Yes,No objection,Yes,Tabular,Supervised Classification,active,10-fold Crossvalidation,,class,500.0,2.0,268.0,2.0,9.0,768.0,0.0,0.0,8.0,1.0,,,,,,,,
41,42,soybean,"Some infrequent classes should not be used for prediction, may be outdated, maybe also rather an interpretability task, might require time split as date is available; categorical and nan values already preprocessed",1988,,"Preprocessing, Historic problems with classes (see e-mails from UCI download)",Tabular,random,Maybe,"R.S. Michalski and R.L. Chilausky ""Learning by Being Told and Learning from Examples: An Experimental Comparison of the Two Methods of Knowledge Acquisition in the Context of Developing an Expert System for Soybean Disease Diagnosis"", International Journal of Policy Analysis and Information Systems, Vol. 4, No. 2, 1980.",https://archive.ics.uci.edu/dataset/90/soybean+large,Conditional,Needs proper task definition and preprocessing. ,Unclear,"After some preprocessing, I can see this being added",no,Tiny data,Supervised Classification,active,10-fold Crossvalidation,,class,92.0,19.0,8.0,19.0,36.0,683.0,121.0,2337.0,0.0,36.0,,,,,,,,
