dataset,model,ACC,AUC_OVO,total_time_s
blood-transfusion-service-center,TabICL v2,0.7955555555555556,0.7727420402859,5.589032092015259
blood-transfusion-service-center,LightGBM_TD,0.7466666666666667,0.7244422785358458,1.0130187629838474
blood-transfusion-service-center,XGBoost_TD,0.7377777777777778,0.7128546675330301,0.1122003750060685
blood-transfusion-service-center,CatBoost_TD,0.7955555555555556,0.7381957981373186,1.4158737299731
blood-transfusion-service-center,AutoGluon,0.8,0.7697639159627464,5151.377449396008
diabetes,TabICL v2,0.7402597402597403,0.8384362139917695,1.49767835799139
diabetes,LightGBM_TD,0.7359307359307359,0.802716049382716,0.1355858820024877
diabetes,XGBoost_TD,0.7532467532467533,0.7906172839506173,0.0747628140379674
diabetes,CatBoost_TD,0.7445887445887446,0.8362139917695474,2.040621154999826
diabetes,AutoGluon,0.7272727272727273,0.8379423868312756,5449.150793116947
anneal,TabICL v2,0.9703703703703704,0.999433656957929,9.840664271032438
anneal,LightGBM_TD,0.9777777777777776,0.998838996763754,2.431676826090552
anneal,XGBoost_TD,0.9666666666666668,0.9978843042071196,0.3122039530426264
anneal,CatBoost_TD,0.9666666666666668,0.9984991909385112,3.527902001980692
anneal,AutoGluon,0.9777777777777776,0.9988349514563106,3677.7903789610136
credit-g,TabICL v2,0.7666666666666667,0.7885185185185185,1.7181190310511738
credit-g,LightGBM_TD,0.7666666666666667,0.7602116402116402,0.3468586800154298
credit-g,XGBoost_TD,0.74,0.7618518518518518,0.0684521240182221
credit-g,CatBoost_TD,0.7633333333333333,0.7898941798941799,2.772410118021071
credit-g,AutoGluon,0.7666666666666667,0.7991534391534391,3676.55121366994
qsar-biodeg,TabICL v2,0.886435331230284,0.9338673787271918,4.494327818974853
qsar-biodeg,LightGBM_TD,0.886435331230284,0.917979528259902,0.23796458402648568
qsar-biodeg,XGBoost_TD,0.8643533123028391,0.9134401424121049,0.16360619000624865
qsar-biodeg,CatBoost_TD,0.886435331230284,0.9284824210057854,5.147046476020478
qsar-biodeg,AutoGluon,0.8801261829652997,0.9277036048064085,3658.7839469070313
baseball,TabICL v2,0.9477611940298507,0.9274912704807949,1.8382845100713894
baseball,LightGBM_TD,0.945273631840796,0.9088074133763095,0.403001022990793
baseball,XGBoost_TD,0.9502487562189055,0.9135683588503895,0.26813917700201273
baseball,CatBoost_TD,0.9427860696517413,0.9065753424657533,6.401369663071819
baseball,AutoGluon,0.9527363184079602,0.9155237711522966,3656.234497002908
yeast,TabICL v2,0.625560538116592,0.8949751564433224,4.84419482795056
yeast,LightGBM_TD,0.5829596412556054,0.8305805511250557,1.3184176059439778
yeast,XGBoost_TD,0.6143497757847534,0.8614919367338926,0.6114475330105051
yeast,CatBoost_TD,0.6053811659192825,0.8420476599061841,5.614260912057944
yeast,AutoGluon,0.6165919282511211,0.885849019169937,3632.022680027061
splice,TabICL v2,0.9655172413793104,0.9971154906756228,3.594084460986778
splice,LightGBM_TD,0.9529780564263323,0.9956343860263027,0.7084496000315994
splice,XGBoost_TD,0.9592476489028213,0.9959792846556338,0.45367030799388885
splice,CatBoost_TD,0.9519331243469175,0.9950893071091959,4.877758614020422
splice,AutoGluon,0.9561128526645768,0.995450776492604,3639.1410988150164
Bioresponse,TabICL v2,0.7788632326820604,0.8531946673446364,187.75129976100288
Bioresponse,LightGBM_TD,0.783303730017762,0.8614240541528292,4.934829466976225
Bioresponse,XGBoost_TD,0.7770870337477798,0.8558339821715156,3.808703986927867
Bioresponse,CatBoost_TD,0.7806394316163411,0.8564314429631513,48.581356446957216
Bioresponse,AutoGluon,0.7806394316163411,0.8678117998506348,3603.385102322907
hypothyroid,TabICL v2,0.9946996466431095,0.9626335627469927,3.2520606480538845
hypothyroid,LightGBM_TD,0.9964664310954063,0.9596408242392815,1.5153964649653062
hypothyroid,XGBoost_TD,0.9964664310954063,0.820527219302174,0.279395284014754
hypothyroid,CatBoost_TD,0.9973498233215548,0.9601603931458741,10.833411587052979
hypothyroid,AutoGluon,0.9946996466431095,0.9457227021315043,3655.971325602033
hiva_agnostic,TabICL v2,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
hiva_agnostic,LightGBM_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
hiva_agnostic,XGBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
hiva_agnostic,CatBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
hiva_agnostic,AutoGluon,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
spambase,TabICL v2,0.6956521739130435,0.6099877450980392,1.5737821409711614
spambase,LightGBM_TD,0.6630434782608695,0.6418504901960784,0.38886931410524994
spambase,XGBoost_TD,0.6304347826086957,0.6403186274509804,0.07199004001449794
spambase,CatBoost_TD,0.6739130434782609,0.640625,1.80249177897349
spambase,AutoGluon,0.6847826086956522,0.6130514705882353,3715.1308736680076
waveform-5000,TabICL v2,0.9932659932659933,0.9999875296171592,4.108606777037494
waveform-5000,LightGBM_TD,0.9090909090909091,0.9938022197281456,5.506943085929379
waveform-5000,XGBoost_TD,0.8720538720538721,0.9894251153510414,1.1228152549592778
waveform-5000,CatBoost_TD,0.9494949494949495,0.9980296795111611,22.804395023034886
waveform-5000,AutoGluon,0.9696969696969697,0.998129442573887,3616.2034309749724
churn,TabICL v2,0.9673333333333334,0.9444491239892183,2.2419085080036893
churn,LightGBM_TD,0.9633333333333334,0.9345994960740653,0.39984316704794765
churn,XGBoost_TD,0.9613333333333334,0.9438210476971757,0.25260864198207855
churn,CatBoost_TD,0.964,0.9381482186804171,5.227238861960359
churn,AutoGluon,0.9673333333333334,0.9351268604242353,3597.580018305918
page-blocks,TabICL v2,0.9780755176613886,0.9852748408684636,3.5139268619241193
page-blocks,LightGBM_TD,0.97442143727162,0.979561871680257,2.6672956260154024
page-blocks,XGBoost_TD,0.97442143727162,0.9802698939647719,0.6010345770046115
page-blocks,CatBoost_TD,0.9774665042630938,0.979577094283675,13.396290404023603
page-blocks,AutoGluon,0.9756394640682094,0.9826433490375145,3637.3364930130774
optdigits,TabICL v2,0.9970344009489917,0.9999937206758334,6.698991311015561
optdigits,LightGBM_TD,0.9839857651245552,0.9997909138983222,11.103084224974737
optdigits,XGBoost_TD,0.9762752075919335,0.9996015771694542,1.907750083017163
optdigits,CatBoost_TD,0.9857651245551602,0.9998715334573203,24.185058267903514
optdigits,AutoGluon,0.9899169632265717,0.99993122634106,3640.68762138905
satimage,TabICL v2,0.9419388284085018,0.9962065337322052,5.612920318963006
satimage,LightGBM_TD,0.9227579056505961,0.9922373447235614,9.795663467026316
satimage,XGBoost_TD,0.9227579056505961,0.9916348328458412,2.076062284060754
satimage,CatBoost_TD,0.9222395023328149,0.9928299941553043,20.988081732066348
satimage,AutoGluon,0.9294971487817522,0.9939017841306418,3634.2494025860215
isolet,TabICL v2,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
isolet,LightGBM_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
isolet,XGBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
isolet,CatBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
isolet,AutoGluon,FAILED,"With n_samples=0, test_size=0.1111111111111111 and train_size=None, the resulting train set will be ",0.0
mushroom,TabICL v2,1.0,1.0,5.30443912895862
mushroom,LightGBM_TD,1.0,1.0,3.213595105917193
mushroom,XGBoost_TD,1.0,1.0,0.13583215698599815
mushroom,CatBoost_TD,1.0,1.0,6.657174748950638
mushroom,AutoGluon,1.0,1.0,3671.230479263002
JapaneseVowels,TabICL v2,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
JapaneseVowels,LightGBM_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
JapaneseVowels,XGBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
JapaneseVowels,CatBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
JapaneseVowels,AutoGluon,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
pendigits,TabICL v2,0.9975742874469375,0.999588618802768,4.127641033031978
pendigits,LightGBM_TD,0.9915100060642814,0.9993366466225145,6.071577552938834
pendigits,XGBoost_TD,0.9884778653729533,0.9995306201741418,1.7396668510045856
pendigits,CatBoost_TD,0.9912067919951486,0.9994572150499137,27.911479113041423
pendigits,AutoGluon,0.992116434202547,0.9995473810709986,3741.425691796001
nursery,TabICL v2,0.9994855967078189,1.0,4.872655529994518
nursery,LightGBM_TD,0.8850308641975309,0.7833640769878768,3.2324596939142793
nursery,XGBoost_TD,0.9997427983539094,0.9563225446428572,0.957041887100786
nursery,CatBoost_TD,1.0,1.0,11.122765044914559
nursery,AutoGluon,0.9987139917695473,1.0,3651.6746785370633
letter,TabICL v2,0.99,0.9999805439871894,18.405328179942444
letter,LightGBM_TD,0.9645,0.9996426356851011,30.898160266922787
letter,XGBoost_TD,0.9585,0.9995900329795614,5.995025334996171
letter,CatBoost_TD,0.9655,0.9997339082855549,70.74091920303181
letter,AutoGluon,0.9783333333333334,0.9998886252956156,3838.104849086958
houses,TabICL v2,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
houses,LightGBM_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
houses,XGBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
houses,CatBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
houses,AutoGluon,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
Amazon_employee_access,TabICL v2,0.9492421930627607,0.8523487697905041,12.22753463301342
Amazon_employee_access,LightGBM_TD,0.9457837452954938,0.8209344339875045,0.725260301027447
Amazon_employee_access,XGBoost_TD,0.9484284406469332,0.8277886968655872,0.3817411429481581
Amazon_employee_access,CatBoost_TD,0.9480215644390194,0.8109803118663518,16.314496911945753
Amazon_employee_access,AutoGluon,0.9501576645305666,0.849457920736657,3654.9480383729097
KDDCup09_appetency,TabICL v2,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
KDDCup09_appetency,LightGBM_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
KDDCup09_appetency,XGBoost_TD,FAILED,Number of classes in y_true not equal to the number of columns in 'y_score',0.0
