dataset,regime,n_samples,n_features,n_classes
credit-g,medium,1000,20,2
qsar-biodeg,medium,1055,41,2
baseball,medium,1340,16,3
yeast,medium,1484,8,10
splice,medium,3190,60,3
Bioresponse,medium,3751,1776,2
hypothyroid,medium,3772,29,4
hiva_agnostic,medium,35,1024,30
spambase,medium,306,3,2
waveform-5000,medium,990,13,11
churn,medium,5000,20,2
page-blocks,medium,5473,10,5
optdigits,medium,5620,64,10
satimage,medium,6430,36,6
isolet,medium,10,1024,10
mushroom,medium,8124,22,2
JapaneseVowels,medium,326,1024,251
pendigits,large,10992,16,10
nursery,large,12960,8,5
letter,large,20000,16,26
houses,large,66,1024,50
Amazon_employee_access,large,32769,9,2
KDDCup09_appetency,large,1829,1024,657
