task_id,dataset,n_samples,n_features,n_classes,regime,model,ACC,AUC_OVO,G_Mean,CE,fit_time_s,predict_time_s,total_time_s
359955,blood-transfusion,748,5,2,small,TabICL,0.795556,0.772742,0.586839,0.463957,4.16,0.89,5.05
359955,blood-transfusion,748,5,2,small,LightGBM_TD,0.791111,0.769006,0.597537,0.466,4.46,0.01,4.47
359955,blood-transfusion,748,5,2,small,XGBoost_TD,0.791111,0.727908,0.632661,0.51138,0.88,0.01,0.89
359955,blood-transfusion,748,5,2,small,CatBoost_TD,0.8,0.74621,0.588681,0.471875,2.41,0.01,2.42
359955,blood-transfusion,748,5,2,small,AutoGluon,0.791111,0.770035,0.544431,0.464161,1806.73,1.08,1807.81
37,diabetes,768,9,2,small,TabICL,0.74026,0.838436,0.667777,0.476056,0.61,0.72,1.33
37,diabetes,768,9,2,small,LightGBM_TD,0.757576,0.839259,0.688769,0.470954,0.09,0.01,0.1
37,diabetes,768,9,2,small,XGBoost_TD,0.735931,0.811605,0.675497,1.803288,1.45,0.02,1.47
37,diabetes,768,9,2,small,CatBoost_TD,0.727273,0.827572,0.643486,0.768697,1.29,0.01,1.3
37,diabetes,768,9,2,small,AutoGluon,0.761905,0.833169,0.715668,0.48316,1801.9,2.02,1803.92
2,anneal,,,,,TabICL,FAILED,boolean index did not match indexed array along axis 0; size of axis is 38 but size of corresponding,,,,,
2,anneal,,,,,LightGBM_TD,FAILED,NaN values in continuous columns are currently not allowed!,,,,,
2,anneal,,,,,XGBoost_TD,FAILED,NaN values in continuous columns are currently not allowed!,,,,,
2,anneal,,,,,CatBoost_TD,FAILED,NaN values in continuous columns are currently not allowed!,,,,,
