model,ACC,AUC_OVO,G_Mean,CE,fit_time_s,predict_time_s,total_time_s,dataset,regime
AutoGluon_Default,0.777778,0.7265,0.603757,0.500938,27.37,0.25,27.62,blood-transfusion-service-center,small
LightGBM_Tuned,0.782222,0.738196,0.541038,0.487997,0.21,0.0,31.34,blood-transfusion-service-center,small
XGBoost_Tuned,0.791111,0.728558,0.544431,0.486454,0.22,0.0,22.65,blood-transfusion-service-center,small
CatBoost_Tuned,0.8,0.757039,0.601331,0.470301,0.97,0.01,132.11,blood-transfusion-service-center,small
AutoGluon_Default,0.766234,0.827737,0.694007,0.489018,13.58,0.16,13.75,diabetes,small
LightGBM_Tuned,0.761905,0.850123,0.680595,0.468936,0.2,0.0,18.83,diabetes,small
XGBoost_Tuned,0.748918,0.833086,0.64355,0.498702,0.25,0.0,44.68,diabetes,small
CatBoost_Tuned,0.748918,0.831934,0.66171,0.485999,2.87,0.01,251.7,diabetes,small
AutoGluon_Default,0.75,0.781852,0.593171,0.514761,17.51,0.12,17.63,credit-g,medium
LightGBM_Tuned,0.75,0.766349,0.6,0.520615,0.15,0.0,22.05,credit-g,medium
XGBoost_Tuned,0.76,0.786984,0.576066,0.501046,0.18,0.0,39.52,credit-g,medium
AutoGluon_Default,0.962963,0.997074,0.972402,0.122204,128.34,0.12,128.46,anneal,small
LightGBM_Tuned,0.962963,0.998697,0.959466,0.093274,0.18,0.01,65.45,anneal,small
XGBoost_Tuned,0.966667,0.998738,0.836919,0.126216,1.17,0.02,128.41,anneal,small
CatBoost_Tuned,0.776667,0.790741,0.657476,0.614388,1.89,0.01,305.36,credit-g,medium
AutoGluon_Default,0.892744,0.937339,0.856453,0.30031,17.2,0.51,17.71,qsar-biodeg,medium
LightGBM_Tuned,0.873817,0.930485,0.837484,0.314612,0.4,0.01,37.73,qsar-biodeg,medium
XGBoost_Tuned,0.886435,0.931731,0.842729,0.318576,0.6,0.01,68.03,qsar-biodeg,medium
