model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
LightGBM_TD,0.746667,0.724442,0.632319,0.551365,0.02,blood-transfusion-service-center,small
XGBoost_TD,0.728889,0.705924,0.592623,0.589661,0.26,blood-transfusion-service-center,small
CatBoost_TD,0.76,0.690871,0.584064,0.552196,11.32,blood-transfusion-service-center,small
AutoGluon_Default,0.777778,0.7265,0.603757,0.500938,4.12,blood-transfusion-service-center,small
TabICL,0.795556,0.772742,0.586839,0.463957,3.69,blood-transfusion-service-center,small
AutoGluon_Extreme,0.8,0.769872,0.625344,0.462944,997.15,blood-transfusion-service-center,small
LightGBM_Tuned,0.782222,0.738196,0.541038,0.487997,6.55,blood-transfusion-service-center,small
XGBoost_Tuned,0.786667,0.739495,0.528175,0.479299,29.84,blood-transfusion-service-center,small
CatBoost_Tuned,0.804444,0.751733,0.603219,0.481092,309.05,blood-transfusion-service-center,small
TabICL,0.74026,0.838436,0.667777,0.476056,0.72,diabetes,small
LightGBM_TD,0.735931,0.802716,0.680414,0.666961,0.03,diabetes,small
XGBoost_TD,0.748918,0.797778,0.68853,0.732825,0.06,diabetes,small
CatBoost_TD,0.74026,0.803128,0.673056,0.61526,12.36,diabetes,small
AutoGluon_Default,0.766234,0.827737,0.694007,0.489018,3.59,diabetes,small
AutoGluon_Extreme,0.748918,0.834403,0.693414,0.475565,3496.26,diabetes,small
LightGBM_Tuned,0.761905,0.850123,0.680595,0.468936,4.78,diabetes,small
XGBoost_Tuned,0.757576,0.836379,0.672444,0.488646,25.33,diabetes,small
CatBoost_Tuned,0.744589,0.822963,0.653386,0.535632,146.44,diabetes,small
TabICL,0.97037,0.999434,0.961368,0.073292,1.05,anneal,small
LightGBM_TD,0.977778,0.998839,0.982436,0.08947,0.14,anneal,small
XGBoost_TD,0.97037,0.997917,0.980483,0.084408,0.17,anneal,small
CatBoost_TD,0.974074,0.998677,0.981461,0.087244,1.95,anneal,small
AutoGluon_Default,0.962963,0.997074,0.972402,0.122204,16.76,anneal,small
AutoGluon_Extreme,0.97037,0.998714,0.974348,0.134815,3786.77,anneal,small
LightGBM_Tuned,0.962963,0.998697,0.959466,0.093274,18.55,anneal,small
XGBoost_Tuned,0.97037,0.998333,0.980483,0.089087,63.76,anneal,small
CatBoost_Tuned,0.97037,0.999013,0.974348,0.088859,160.24,anneal,small
TabICL,0.766667,0.788519,0.627795,0.49232,1.06,credit-g,medium
LightGBM_TD,0.766667,0.760212,0.646357,0.611999,0.04,credit-g,medium
XGBoost_TD,0.716667,0.738624,0.563718,0.710788,0.07,credit-g,medium
CatBoost_TD,0.75,0.750688,0.643486,0.597824,12.6,credit-g,medium
AutoGluon_Default,0.75,0.770053,0.586172,0.509371,6.83,credit-g,medium
AutoGluon_Extreme,0.776667,0.806402,0.645374,0.472526,4284.78,credit-g,medium
LightGBM_Tuned,0.743333,0.760476,0.596817,0.542678,6.09,credit-g,medium
XGBoost_Tuned,0.74,0.758836,0.595219,0.562109,24.5,credit-g,medium
CatBoost_Tuned,0.76,0.791746,0.604743,0.490813,247.18,credit-g,medium
TabICL,0.886435,0.933867,0.845944,0.30169,1.06,qsar-biodeg,medium
LightGBM_TD,0.886435,0.91798,0.849094,0.410189,0.05,qsar-biodeg,medium
XGBoost_TD,0.883281,0.917,0.846969,0.39506,0.07,qsar-biodeg,medium
CatBoost_TD,0.880126,0.918692,0.844838,0.359956,12.78,qsar-biodeg,medium
AutoGluon_Default,0.880126,0.935514,0.835303,0.306106,10.22,qsar-biodeg,medium
AutoGluon_Extreme,0.892744,0.932977,0.862511,0.306308,2321.07,qsar-biodeg,medium
LightGBM_Tuned,0.873817,0.930485,0.837484,0.314612,11.02,qsar-biodeg,medium
XGBoost_Tuned,0.876972,0.932354,0.833222,0.322001,28.8,qsar-biodeg,medium
CatBoost_Tuned,0.864353,0.917623,0.821631,0.338424,155.7,qsar-biodeg,medium
TabICL,0.947761,0.927491,0.578484,0.127509,1.17,baseball,medium
LightGBM_TD,0.945274,0.908807,0.607868,0.305954,0.1,baseball,medium
