model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
AutoGluon_Extreme_4h,0.969267,0.805592,0.611868,0.122458,14400.31,hiva_agnostic,medium
AutoGluon_Extreme_4h,0.95945,0.992482,0.958493,0.110588,14439.34,spambase,medium
AutoGluon_Extreme_4h,0.87,0.976738,0.869891,0.270245,14455.04,waveform-5000,medium
AutoGluon_Extreme_4h,0.968667,0.946326,0.907248,0.117467,14436.02,churn,medium
AutoGluon_Extreme_4h,0.976857,0.986397,0.86511,0.083246,14425.42,page-blocks,medium
AutoGluon_Extreme_4h,0.99051,0.999948,0.990431,0.028081,14453.22,optdigits,medium
AutoGluon_Extreme_4h,0.930534,0.994561,0.903021,0.174069,14457.8,satimage,medium
AutoGluon_Extreme_4h,0.968803,0.99963,0.968276,0.099559,14585.52,isolet,medium
AutoGluon_Extreme_4h,1.0,1.0,1.0,3e-06,14436.76,mushroom,medium
AutoGluon_Extreme_4h,0.992305,0.99992,0.99157,0.022682,14478.16,JapaneseVowels,medium
