model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
AutoGluon_Extreme_4h,0.991207,0.999339,0.991283,1.117711,14581.42,pendigits,large
AutoGluon_Extreme_4h,0.999743,0.995096,0.003981,0.001922,14433.42,nursery,large
AutoGluon_Extreme_4h,0.972333,0.999808,0.972111,0.147683,15295.2,letter,large
AutoGluon_Extreme_4h,0.981912,0.998808,0.981197,0.352423,14560.36,houses,large
AutoGluon_Extreme_4h,0.943139,0.849612,0.13257,0.167405,14800.06,Amazon_employee_access,large
AutoGluon_Extreme_4h,0.9822,0.845828,1e-06,0.075657,14491.39,KDDCup09_appetency,large
AutoGluon_Extreme_4h,0.98193,0.992101,1e-06,0.041869,14622.55,APSFailure,large
AutoGluon_Extreme_4h,0.882289,0.637249,1e-06,0.355045,14974.6,KDD98,large
AutoGluon_Extreme_4h,0.569309,0.680972,5e-05,0.892229,14972.63,Diabetes130US,large
AutoGluon_Extreme_4h,0.963554,0.640623,1e-06,0.152897,16394.16,porto-seguro,large
