task_id,dataset,model,best_cv_score,tune_time_s,params
37,diabetes,lightgbm,0.8342105263157894,5.941593809999858,"{'n_estimators': 50, 'learning_rate': 0.01947558230629543, 'max_depth': 3, 'num_leaves': 52, 'min_child_samples': 22, 'subsample': 0.6356745158869479, 'colsample_bytree': 0.9143687545759647}"
37,diabetes,xgboost,0.850751879699248,6.822186460000012,"{'n_estimators': 300, 'learning_rate': 0.04924185908787293, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5818052712809708, 'colsample_bytree': 0.8645786926005509, 'gamma': 4.980082658737176}"
37,diabetes,catboost,0.8421052631578948,75.7057056430001,"{'iterations': 350, 'learning_rate': 0.0178601378893971, 'depth': 4, 'l2_leaf_reg': 9.539969835279999, 'bagging_temperature': 0.9656320330745594}"
37,diabetes,group_model,0.8406015037593983,20.365209309000196,"{'n_estimators': 24, 'softmax_temperature': 1.2, 'outlier_threshold': 2.0, 'average_logits': False, 'n_norm_methods': 1, 'norm_method_single': 'none'}"
359955,blood-transfusion-service-center,lightgbm,0.7629999999999999,1.7471866670000509,"{'n_estimators': 150, 'learning_rate': 0.034821602807385374, 'max_depth': 3, 'num_leaves': 27, 'min_child_samples': 47, 'subsample': 0.8087630613132697, 'colsample_bytree': 0.57646459423528}"
359955,blood-transfusion-service-center,xgboost,0.79175,6.020863771999984,"{'n_estimators': 300, 'learning_rate': 0.01271522679422944, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.77302360227012, 'colsample_bytree': 0.9637958059966713, 'gamma': 4.6160274505017975}"
359955,blood-transfusion-service-center,catboost,0.793,60.1429906620001,"{'iterations': 150, 'learning_rate': 0.03724758407777502, 'depth': 4, 'l2_leaf_reg': 2.0625482211124324, 'bagging_temperature': 0.6628126665727366}"
359955,blood-transfusion-service-center,group_model,0.7962500000000001,10.678758192000032,"{'n_estimators': 16, 'softmax_temperature': 0.7, 'outlier_threshold': 3.0, 'average_logits': False, 'n_norm_methods': 1, 'norm_method_single': 'quantile'}"
15,breast-w,lightgbm,0.979779411764706,3.0040492140001334,"{'n_estimators': 250, 'learning_rate': 0.043978458139766696, 'max_depth': 8, 'num_leaves': 57, 'min_child_samples': 8, 'subsample': 0.9188658349242526, 'colsample_bytree': 0.9708777183999104}"
15,breast-w,xgboost,0.9797794117647058,5.897651656999869,"{'n_estimators': 450, 'learning_rate': 0.07725378389307355, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.9849549260809971, 'colsample_bytree': 0.9162213204002109, 'gamma': 1.0616955533913808}"
15,breast-w,catboost,0.9806985294117648,81.26485521799987,"{'iterations': 150, 'learning_rate': 0.05247066899055472, 'depth': 8, 'l2_leaf_reg': 3.868465754746409, 'bagging_temperature': 0.36170357829982913}"
15,breast-w,group_model,0.982077205882353,12.898207088999923,"{'n_estimators': 12, 'softmax_temperature': 1.1, 'outlier_threshold': 3.0, 'average_logits': False, 'n_norm_methods': 1, 'norm_method_single': 'quantile'}"
49,tic-tac-toe,lightgbm,1.0,3.264720609000051,"{'n_estimators': 50, 'learning_rate': 0.22038218939289875, 'max_depth': 5, 'num_leaves': 90, 'min_child_samples': 19, 'subsample': 0.7600340105889054, 'colsample_bytree': 0.7733551396716398}"
49,tic-tac-toe,xgboost,0.996294466403162,8.182938634000038,"{'n_estimators': 500, 'learning_rate': 0.040388669392426774, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.9085311199293592, 'colsample_bytree': 0.9008188306061254, 'gamma': 0.07798338998924548}"
49,tic-tac-toe,catboost,1.0,123.968042899,"{'iterations': 350, 'learning_rate': 0.01607123851203988, 'depth': 6, 'l2_leaf_reg': 4.297256589643226, 'bagging_temperature': 0.45606998421703593}"
49,tic-tac-toe,group_model,1.0,14.5360484360001,"{'n_estimators': 12, 'softmax_temperature': 1.5, 'outlier_threshold': 5.0, 'average_logits': True, 'n_norm_methods': 1, 'norm_method_single': 'robust'}"
3484,oil_spill,lightgbm,0.9773333333333334,3.082460175000051,"{'n_estimators': 200, 'learning_rate': 0.2909668733764447, 'max_depth': 8, 'num_leaves': 77, 'min_child_samples': 45, 'subsample': 0.7668537872065185, 'colsample_bytree': 0.6732817307551989}"
3484,oil_spill,xgboost,0.964,7.139623131000008,"{'n_estimators': 350, 'learning_rate': 0.1460457139456299, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8573455494562158, 'colsample_bytree': 0.8409619920334863, 'gamma': 1.8698885287079223}"
3484,oil_spill,catboost,0.9706666666666668,206.9804702529998,"{'iterations': 500, 'learning_rate': 0.13822229260860658, 'depth': 6, 'l2_leaf_reg': 7.9966586800775525, 'bagging_temperature': 0.8711464908919612}"
3484,oil_spill,group_model,0.976,26.982363308000004,"{'n_estimators': 12, 'softmax_temperature': 1.5, 'outlier_threshold': 5.0, 'average_logits': True, 'n_norm_methods': 1, 'norm_method_single': 'robust'}"
2,anneal,lightgbm,1.0,12.537387920000128,"{'n_estimators': 300, 'learning_rate': 0.011711509955524094, 'max_depth': 7, 'num_leaves': 35, 'min_child_samples': 7, 'subsample': 0.9744427686266666, 'colsample_bytree': 0.9828160165372797}"
2,anneal,xgboost,0.9991319444444444,20.095998297999813,"{'n_estimators': 500, 'learning_rate': 0.04346116016097334, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5617104625598865, 'colsample_bytree': 0.7805257781127055, 'gamma': 0.47072607174993664}"
2,anneal,catboost,1.0,111.5467249620001,"{'iterations': 250, 'learning_rate': 0.2536999076681772, 'depth': 9, 'l2_leaf_reg': 6.387926357773329, 'bagging_temperature': 0.15601864044243652}"
2,anneal,group_model,1.0,23.19562407600006,"{'n_estimators': 12, 'softmax_temperature': 1.5, 'outlier_threshold': 5.0, 'average_logits': True, 'n_norm_methods': 1, 'norm_method_single': 'robust'}"
