model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
TabICL,0.795556,0.772742,0.586839,0.463957,23.74,blood-transfusion-service-center,small
LightGBM_TD,0.746667,0.724442,0.632319,0.551365,0.09,blood-transfusion-service-center,small
XGBoost_TD,0.728889,0.705924,0.592623,0.589661,1.97,blood-transfusion-service-center,small
CatBoost_TD,0.76,0.690871,0.584064,0.552196,22.66,blood-transfusion-service-center,small
AutoGluon_Default,0.786667,0.73224,0.60769,0.496033,620.94,blood-transfusion-service-center,small
AutoGluon_Extreme,0.791111,0.76776,0.558472,0.466316,1835.41,blood-transfusion-service-center,small
LightGBM_Tuned,0.782222,0.738196,0.541038,0.487997,5.37,blood-transfusion-service-center,small
XGBoost_Tuned,0.777778,0.741011,0.494063,0.483775,19.98,blood-transfusion-service-center,small
CatBoost_Tuned,0.8,0.757039,0.601331,0.470158,259.7,blood-transfusion-service-center,small
TabICL,0.74026,0.838436,0.667777,0.476056,1.11,diabetes,small
LightGBM_TD,0.735931,0.802716,0.680414,0.666961,0.08,diabetes,small
XGBoost_TD,0.748918,0.797778,0.68853,0.732825,0.61,diabetes,small
CatBoost_TD,0.74026,0.803128,0.673056,0.61526,22.55,diabetes,small
AutoGluon_Default,0.761905,0.838519,0.680595,0.476169,567.02,diabetes,small
AutoGluon_Extreme,0.731602,0.842469,0.657217,0.464187,1796.54,diabetes,small
LightGBM_Tuned,0.757576,0.840658,0.666667,0.493204,6.37,diabetes,small
XGBoost_Tuned,0.753247,0.836872,0.664193,0.482349,18.74,diabetes,small
CatBoost_Tuned,0.744589,0.820329,0.647375,0.530292,248.66,diabetes,small
LightGBM_TD,0.992593,0.999672,0.998051,0.036774,0.74,anneal,small
XGBoost_TD,0.992593,0.999984,0.992276,0.013144,0.61,anneal,small
CatBoost_TD,1.0,1.0,1.0,0.006203,6.12,anneal,small
AutoGluon_Default,0.762963,0.976453,0.0,0.755328,3124.37,anneal,small
