dataset,tid,regime,n_samples,n_features,n_classes,has_missing,type
diabetes,37,small,768,9,2,No,Binary
anneal,2,small,898,39,5,Yes,Multiclass
credit-g,168757,medium,1000,21,2,No,Binary
qsar-biodeg,359956,medium,1055,42,2,No,Binary
baseball,2077,medium,1340,17,3,Yes,Multiclass
yeast,2073,medium,1484,9,10,No,Multiclass
splice,45,medium,3190,61,3,No,Multiclass
Bioresponse,359967,medium,3751,1777,2,No,Binary
hypothyroid,3011,medium,3772,30,4,Yes,Multiclass
hiva_agnostic,3892,medium,4229,1618,2,No,Binary
spambase,43,medium,4601,58,2,No,Binary
waveform-5000,58,medium,5000,41,3,No,Multiclass
churn,359968,medium,5000,21,2,No,Binary
page-blocks,30,medium,5473,11,5,No,Multiclass
optdigits,28,medium,5620,65,10,No,Multiclass
satimage,2074,medium,6430,37,6,No,Multiclass
isolet,3481,medium,7797,618,26,No,Multiclass
mushroom,24,medium,8124,23,2,Yes,Binary
JapaneseVowels,3510,medium,9961,15,9,No,Multiclass
pendigits,32,large,10992,17,10,No,Multiclass
nursery,26,large,12960,9,5,No,Multiclass
letter,6,large,20000,17,26,No,Multiclass
houses,3688,large,20640,9,2,No,Binary
Amazon_employee_access,359979,large,32769,10,2,No,Binary
KDDCup09_appetency,3945,large,50000,231,2,Yes,Binary
APSFailure,168868,large,76000,171,2,Yes,Binary
KDD98,361329,large,82318,478,2,Yes,Binary
Diabetes130US,211986,large,101766,50,3,No,Multiclass
porto-seguro,360113,large,595212,58,2,Yes,Binary
