model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,4e-05,0.99984,0.00012
AutoGluon_Default,CatBoost_TD,0.0025,0.9971,0.0004
AutoGluon_Default,CatBoost_Tuned,0.00016,0.9997,0.00014
AutoGluon_Default,LightGBM_TD,0.01652,0.98296,0.00052
AutoGluon_Default,LightGBM_Tuned,0.0,1.0,0.0
AutoGluon_Default,TabICL,0.0,0.98888,0.01112
AutoGluon_Default,XGBoost_TD,0.00666,0.9929,0.00044
AutoGluon_Default,XGBoost_Tuned,0.0,0.9999,0.0001
AutoGluon_Extreme,CatBoost_TD,0.00726,0.99274,0.0
AutoGluon_Extreme,CatBoost_Tuned,0.00012,0.99988,0.0
AutoGluon_Extreme,LightGBM_TD,0.012,0.988,0.0
AutoGluon_Extreme,LightGBM_Tuned,0.00114,0.99886,0.0
AutoGluon_Extreme,TabICL,0.0,0.99984,0.00016
AutoGluon_Extreme,XGBoost_TD,0.01714,0.98286,0.0
AutoGluon_Extreme,XGBoost_Tuned,0.00018,0.99982,0.0
CatBoost_TD,CatBoost_Tuned,0.0,0.99914,0.00086
CatBoost_TD,LightGBM_TD,4e-05,0.99996,0.0
CatBoost_TD,LightGBM_Tuned,0.0,0.99988,0.00012
CatBoost_TD,TabICL,0.0,0.83044,0.16956
CatBoost_TD,XGBoost_TD,0.0005,0.9995,0.0
CatBoost_TD,XGBoost_Tuned,0.0,0.99978,0.00022
CatBoost_Tuned,LightGBM_TD,0.00076,0.99924,0.0
CatBoost_Tuned,LightGBM_Tuned,0.0,1.0,0.0
CatBoost_Tuned,TabICL,0.0,0.93032,0.06968
CatBoost_Tuned,XGBoost_TD,0.0013,0.99868,2e-05
CatBoost_Tuned,XGBoost_Tuned,0.0,1.0,0.0
LightGBM_TD,LightGBM_Tuned,0.0,0.99606,0.00394
LightGBM_TD,TabICL,0.0,0.89122,0.10878
LightGBM_TD,XGBoost_TD,0.0001,0.99914,0.00076
LightGBM_TD,XGBoost_Tuned,6e-05,0.99624,0.0037
LightGBM_Tuned,TabICL,0.0,0.9425,0.0575
LightGBM_Tuned,XGBoost_TD,0.0008,0.9991,0.0001
LightGBM_Tuned,XGBoost_Tuned,0.0,1.0,0.0
TabICL,XGBoost_TD,0.14306,0.85694,0.0
TabICL,XGBoost_Tuned,0.02742,0.97258,0.0
XGBoost_TD,XGBoost_Tuned,0.0,0.99964,0.00036
