model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,0.0,0.98002,0.01998
AutoGluon_Default,CatBoost_TD,0.04254,0.95426,0.0032
AutoGluon_Default,CatBoost_Tuned,0.02884,0.96542,0.00574
AutoGluon_Default,LightGBM_TD,0.05338,0.94356,0.00306
AutoGluon_Default,LightGBM_Tuned,0.00108,0.9988,0.00012
AutoGluon_Default,TabICL,0.0,0.98794,0.01206
AutoGluon_Default,XGBoost_TD,0.35696,0.643,4e-05
AutoGluon_Default,XGBoost_Tuned,0.00074,0.99922,4e-05
AutoGluon_Extreme,CatBoost_TD,0.15616,0.84384,0.0
AutoGluon_Extreme,CatBoost_Tuned,0.43284,0.56716,0.0
AutoGluon_Extreme,LightGBM_TD,0.43078,0.56922,0.0
AutoGluon_Extreme,LightGBM_Tuned,0.07294,0.92706,0.0
AutoGluon_Extreme,TabICL,0.00064,0.99936,0.0
AutoGluon_Extreme,XGBoost_TD,0.67228,0.32772,0.0
AutoGluon_Extreme,XGBoost_Tuned,0.09576,0.90424,0.0
CatBoost_TD,CatBoost_Tuned,0.01308,0.97658,0.01034
CatBoost_TD,LightGBM_TD,0.0002,0.99928,0.00052
CatBoost_TD,LightGBM_Tuned,0.0005,0.99318,0.00632
CatBoost_TD,TabICL,0.0,0.866,0.134
CatBoost_TD,XGBoost_TD,0.01508,0.9848,0.00012
CatBoost_TD,XGBoost_Tuned,0.00182,0.99208,0.0061
CatBoost_Tuned,LightGBM_TD,0.03336,0.96638,0.00026
CatBoost_Tuned,LightGBM_Tuned,0.00134,0.99346,0.0052
CatBoost_Tuned,TabICL,0.0,0.76588,0.23412
CatBoost_Tuned,XGBoost_TD,0.07336,0.9258,0.00084
CatBoost_Tuned,XGBoost_Tuned,0.00082,0.99904,0.00014
LightGBM_TD,LightGBM_Tuned,0.00028,0.99146,0.00826
LightGBM_TD,TabICL,0.0,0.69136,0.30864
LightGBM_TD,XGBoost_TD,0.01674,0.98194,0.00132
LightGBM_TD,XGBoost_Tuned,0.0003,0.99278,0.00692
LightGBM_Tuned,TabICL,0.0,0.97256,0.02744
LightGBM_Tuned,XGBoost_TD,0.05218,0.94782,0.0
LightGBM_Tuned,XGBoost_Tuned,4e-05,0.99978,0.00018
TabICL,XGBoost_TD,0.42882,0.57118,0.0
TabICL,XGBoost_Tuned,0.10132,0.89868,0.0
XGBoost_TD,XGBoost_Tuned,0.0,0.93838,0.06162
