model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,0.0,0.9994,0.0006
AutoGluon_Default,CatBoost_TD,0.0002,0.999,0.0008
AutoGluon_Default,CatBoost_Tuned,0.00102,0.998,0.00098
AutoGluon_Default,LightGBM_TD,0.27012,0.7283,0.00158
AutoGluon_Default,LightGBM_Tuned,0.00228,0.99736,0.00036
AutoGluon_Default,TabICL,0.0,0.99632,0.00368
AutoGluon_Default,XGBoost_TD,0.09836,0.89958,0.00206
AutoGluon_Default,XGBoost_Tuned,0.0,0.9992,0.0008
AutoGluon_Extreme,CatBoost_TD,0.00282,0.99718,0.0
AutoGluon_Extreme,CatBoost_Tuned,0.00104,0.99896,0.0
AutoGluon_Extreme,LightGBM_TD,0.2238,0.7762,0.0
AutoGluon_Extreme,LightGBM_Tuned,0.00534,0.99466,0.0
AutoGluon_Extreme,TabICL,0.0,1.0,0.0
AutoGluon_Extreme,XGBoost_TD,0.1491,0.8509,0.0
AutoGluon_Extreme,XGBoost_Tuned,2e-05,0.99998,0.0
CatBoost_TD,CatBoost_Tuned,0.00158,0.99842,0.0
CatBoost_TD,LightGBM_TD,0.00778,0.99222,0.0
CatBoost_TD,LightGBM_Tuned,0.00162,0.99838,0.0
CatBoost_TD,TabICL,0.0,0.96316,0.03684
CatBoost_TD,XGBoost_TD,0.01566,0.98434,0.0
CatBoost_TD,XGBoost_Tuned,0.0,1.0,0.0
CatBoost_Tuned,LightGBM_TD,0.13906,0.85618,0.00476
CatBoost_Tuned,LightGBM_Tuned,0.0025,0.99586,0.00164
CatBoost_Tuned,TabICL,0.0,0.9838,0.0162
CatBoost_Tuned,XGBoost_TD,0.06228,0.9351,0.00262
CatBoost_Tuned,XGBoost_Tuned,6e-05,0.99892,0.00102
LightGBM_TD,LightGBM_Tuned,0.00126,0.97646,0.02228
LightGBM_TD,TabICL,0.0,0.25886,0.74114
LightGBM_TD,XGBoost_TD,0.0,0.99674,0.00326
LightGBM_TD,XGBoost_Tuned,0.0,0.96142,0.03858
LightGBM_Tuned,TabICL,0.0,0.84694,0.15306
LightGBM_Tuned,XGBoost_TD,0.0162,0.98266,0.00114
LightGBM_Tuned,XGBoost_Tuned,0.0,0.99904,0.00096
TabICL,XGBoost_TD,0.68642,0.31358,0.0
TabICL,XGBoost_Tuned,0.00298,0.99702,0.0
XGBoost_TD,XGBoost_Tuned,0.0,0.95168,0.04832
