model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,0.00766,0.90618,0.08616
AutoGluon_Default,CatBoost_TD,0.0651,0.45656,0.47834
AutoGluon_Default,CatBoost_Tuned,0.00912,0.96792,0.02296
AutoGluon_Default,LightGBM_TD,0.01216,0.768,0.21984
AutoGluon_Default,LightGBM_Tuned,0.0167,0.8987,0.0846
AutoGluon_Default,TabICL,0.00042,0.42702,0.57256
AutoGluon_Default,XGBoost_TD,0.00692,0.75032,0.24276
AutoGluon_Default,XGBoost_Tuned,0.00948,0.75274,0.23778
AutoGluon_Extreme,CatBoost_TD,0.01992,0.91648,0.0636
AutoGluon_Extreme,CatBoost_Tuned,0.032,0.9623,0.0057
AutoGluon_Extreme,LightGBM_TD,0.00816,0.85348,0.13836
AutoGluon_Extreme,LightGBM_Tuned,0.1638,0.79914,0.03706
AutoGluon_Extreme,TabICL,0.0007,0.95038,0.04892
AutoGluon_Extreme,XGBoost_TD,0.08206,0.66448,0.25346
AutoGluon_Extreme,XGBoost_Tuned,0.02854,0.92752,0.04394
CatBoost_TD,CatBoost_Tuned,0.18586,0.79944,0.0147
CatBoost_TD,LightGBM_TD,0.01616,0.8964,0.08744
CatBoost_TD,LightGBM_Tuned,0.21418,0.77798,0.00784
CatBoost_TD,TabICL,0.01894,0.5291,0.45196
CatBoost_TD,XGBoost_TD,0.00922,0.87672,0.11406
CatBoost_TD,XGBoost_Tuned,0.01716,0.94566,0.03718
CatBoost_Tuned,LightGBM_TD,0.01464,0.80176,0.1836
CatBoost_Tuned,LightGBM_Tuned,0.00456,0.99374,0.0017
CatBoost_Tuned,TabICL,0.00136,0.1384,0.86024
CatBoost_Tuned,XGBoost_TD,0.00024,0.82128,0.17848
CatBoost_Tuned,XGBoost_Tuned,0.00014,0.99182,0.00804
LightGBM_TD,LightGBM_Tuned,0.12356,0.86588,0.01056
LightGBM_TD,TabICL,0.109,0.33972,0.55128
LightGBM_TD,XGBoost_TD,0.03032,0.94882,0.02086
LightGBM_TD,XGBoost_Tuned,0.0375,0.94726,0.01524
LightGBM_Tuned,TabICL,0.0012,0.2639,0.7349
LightGBM_Tuned,XGBoost_TD,0.01622,0.69854,0.28524
LightGBM_Tuned,XGBoost_Tuned,0.0011,0.9689,0.03
TabICL,XGBoost_TD,0.78146,0.1546,0.06394
TabICL,XGBoost_Tuned,0.51908,0.46782,0.0131
XGBoost_TD,XGBoost_Tuned,0.00352,0.995,0.00148
