model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,1.0,0.0,0.0
AutoGluon_Default,CatBoost_TD,0.0,0.0,1.0
AutoGluon_Default,CatBoost_Tuned,0.0,0.0,1.0
AutoGluon_Default,LightGBM_TD,0.0,0.0,1.0
AutoGluon_Default,LightGBM_Tuned,0.2095,0.0,0.7905
AutoGluon_Default,TabICL,0.0,0.0,1.0
AutoGluon_Default,XGBoost_TD,0.0,0.0,1.0
AutoGluon_Default,XGBoost_Tuned,0.0,0.0,1.0
AutoGluon_Extreme,CatBoost_TD,0.0,0.0,1.0
AutoGluon_Extreme,CatBoost_Tuned,0.0,0.0,1.0
AutoGluon_Extreme,LightGBM_TD,0.0,0.0,1.0
AutoGluon_Extreme,LightGBM_Tuned,0.00726,0.0,0.99274
AutoGluon_Extreme,TabICL,0.0,0.0,1.0
AutoGluon_Extreme,XGBoost_TD,0.0,0.0,1.0
AutoGluon_Extreme,XGBoost_Tuned,0.0,0.0,1.0
CatBoost_TD,CatBoost_Tuned,1.0,0.0,0.0
CatBoost_TD,LightGBM_TD,0.0234,0.0,0.9766
CatBoost_TD,LightGBM_Tuned,1.0,0.0,0.0
CatBoost_TD,TabICL,0.08814,0.0,0.91186
CatBoost_TD,XGBoost_TD,0.0,0.0,1.0
CatBoost_TD,XGBoost_Tuned,1.0,0.0,0.0
CatBoost_Tuned,LightGBM_TD,0.0,0.0,1.0
CatBoost_Tuned,LightGBM_Tuned,0.63208,0.0,0.36792
CatBoost_Tuned,TabICL,0.0,0.0,1.0
CatBoost_Tuned,XGBoost_TD,0.0,0.0,1.0
CatBoost_Tuned,XGBoost_Tuned,0.0,0.0,1.0
LightGBM_TD,LightGBM_Tuned,1.0,0.0,0.0
LightGBM_TD,TabICL,0.67912,0.0,0.32088
LightGBM_TD,XGBoost_TD,0.0,0.00326,0.99674
LightGBM_TD,XGBoost_Tuned,1.0,0.0,0.0
LightGBM_Tuned,TabICL,0.0,0.0,1.0
LightGBM_Tuned,XGBoost_TD,0.0,0.0,1.0
LightGBM_Tuned,XGBoost_Tuned,6e-05,0.0,0.99994
TabICL,XGBoost_TD,0.0,0.0,1.0
TabICL,XGBoost_Tuned,0.99998,0.0,2e-05
XGBoost_TD,XGBoost_Tuned,1.0,0.0,0.0
