name,tid,regime,Final Decision ,NumberOfInstances,NumberOfFeatures,NumberOfClasses
pendigits,32.0,large,No,10992.0,17.0,10.0
nursery,26.0,large,No,12960.0,9.0,5.0
letter,6.0,large,No,20000.0,17.0,26.0
houses,3688.0,large,Yes,20640.0,9.0,2.0
Amazon_employee_access,359979.0,large,Yes,32769.0,10.0,2.0
KDDCup09_appetency,3945.0,large,Yes,50000.0,231.0,2.0
APSFailure,168868.0,large,Yes,76000.0,171.0,2.0
KDD98,361329.0,large,Yes,82318.0,478.0,2.0
Diabetes130US,211986.0,large,Yes,101766.0,50.0,3.0
porto-seguro,360113.0,large,Yes,595212.0,58.0,2.0
credit-g,168757.0,medium,Yes,1000.0,21.0,2.0
qsar-biodeg,359956.0,medium,Yes,1055.0,42.0,2.0
baseball,2077.0,medium,No,1340.0,17.0,3.0
yeast,2073.0,medium,No,1484.0,9.0,10.0
splice,45.0,medium,Yes,3190.0,61.0,3.0
Bioresponse,359967.0,medium,Yes,3751.0,1777.0,2.0
hypothyroid,3011.0,medium,No,3772.0,30.0,4.0
hiva_agnostic,3892.0,medium,Yes,4229.0,1618.0,2.0
spambase,43.0,medium,No,4601.0,58.0,2.0
waveform-5000,58.0,medium,No,5000.0,41.0,3.0
churn,359968.0,medium,Yes,5000.0,21.0,2.0
page-blocks,30.0,medium,No,5473.0,11.0,5.0
optdigits,28.0,medium,No,5620.0,65.0,10.0
satimage,2074.0,medium,No,6430.0,37.0,6.0
isolet,3481.0,medium,No,7797.0,618.0,26.0
mushroom,24.0,medium,No,8124.0,23.0,2.0
JapaneseVowels,3510.0,medium,No,9961.0,15.0,9.0
blood-transfusion-service-center,359955.0,small,Yes,748.0,5.0,2.0
diabetes,37.0,small,Yes,768.0,9.0,2.0
anneal,2.0,small,Yes,898.0,39.0,5.0
