model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
TabICL,0.74026,0.838436,0.667777,0.476056,21.07,diabetes,small
LightGBM_TD,0.735931,0.802716,0.680414,0.666961,45.96,diabetes,small
XGBoost_TD,0.748918,0.797778,0.68853,0.732825,2.27,diabetes,small
CatBoost_TD,0.74026,0.803128,0.673056,0.61526,44.85,diabetes,small
TabICL,0.795556,0.772742,0.586839,0.463957,4.55,blood-transfusion-service-center,small
LightGBM_TD,0.746667,0.724442,0.632319,0.551365,17.68,blood-transfusion-service-center,small
XGBoost_TD,0.728889,0.705924,0.592623,0.589661,1.05,blood-transfusion-service-center,small
CatBoost_TD,0.76,0.690871,0.584064,0.552196,49.73,blood-transfusion-service-center,small
AutoGluon_Default,0.786667,0.73224,0.60769,0.496033,293.1,blood-transfusion-service-center,small
AutoGluon_Extreme,0.795556,0.751841,0.586839,0.469844,3710.77,blood-transfusion-service-center,small
LightGBM_Tuned,0.782222,0.738196,0.541038,0.487997,142.12,blood-transfusion-service-center,small
XGBoost_Tuned,0.786667,0.739495,0.528175,0.479299,222.7,blood-transfusion-service-center,small
CatBoost_Tuned,0.804444,0.751733,0.603219,0.481092,841.27,blood-transfusion-service-center,small
AutoGluon_Default,0.761905,0.838519,0.680595,0.476169,1177.88,diabetes,small
AutoGluon_Extreme,0.735931,0.83572,0.665184,0.476719,3616.83,diabetes,small
LightGBM_Tuned,0.761905,0.850123,0.680595,0.468936,123.57,diabetes,small
XGBoost_Tuned,0.757576,0.836379,0.672444,0.488646,173.08,diabetes,small
CatBoost_Tuned,0.744589,0.822963,0.653386,0.535632,524.9,diabetes,small
TabICL,0.97037,0.999434,0.961368,0.073292,4.27,anneal,small
LightGBM_TD,0.977778,0.998839,0.982436,0.08947,5.48,anneal,small
XGBoost_TD,0.97037,0.997917,0.980483,0.084408,1.35,anneal,small
CatBoost_TD,0.974074,0.998677,0.981461,0.087244,12.82,anneal,small
AutoGluon_Default,0.892593,0.959905,0.673017,0.372457,3128.55,anneal,small
AutoGluon_Extreme,0.97037,0.998345,0.980483,0.125691,3675.41,anneal,small
LightGBM_Tuned,0.962963,0.998697,0.959466,0.093274,435.87,anneal,small
XGBoost_Tuned,0.97037,0.998333,0.980483,0.089087,435.11,anneal,small
CatBoost_Tuned,0.97037,0.999013,0.974348,0.088859,704.19,anneal,small
TabICL,0.766667,0.788519,0.627795,0.49232,3.98,credit-g,medium
LightGBM_TD,0.766667,0.760212,0.646357,0.611999,1.69,credit-g,medium
XGBoost_TD,0.716667,0.738624,0.563718,0.710788,0.4,credit-g,medium
CatBoost_TD,0.75,0.750688,0.643486,0.597824,54.63,credit-g,medium
AutoGluon_Default,0.75,0.770053,0.586172,0.509371,642.6,credit-g,medium
AutoGluon_Extreme,0.766667,0.806296,0.627795,0.478776,3697.1,credit-g,medium
LightGBM_Tuned,0.743333,0.760476,0.596817,0.542678,145.93,credit-g,medium
XGBoost_Tuned,0.74,0.758836,0.595219,0.562109,163.85,credit-g,medium
CatBoost_Tuned,0.76,0.791746,0.604743,0.490813,871.8,credit-g,medium
TabICL,0.886435,0.933867,0.845944,0.30169,4.78,qsar-biodeg,medium
LightGBM_TD,0.886435,0.91798,0.849094,0.410189,2.7,qsar-biodeg,medium
XGBoost_TD,0.883281,0.917,0.846969,0.39506,0.38,qsar-biodeg,medium
CatBoost_TD,0.880126,0.918692,0.844838,0.359956,54.99,qsar-biodeg,medium
AutoGluon_Extreme,0.883281,0.931776,0.850037,0.302938,3617.97,qsar-biodeg,medium
LightGBM_Tuned,0.873817,0.930485,0.837484,0.314612,300.55,qsar-biodeg,medium
XGBoost_Tuned,0.876972,0.932354,0.833222,0.322001,166.95,qsar-biodeg,medium
CatBoost_Tuned,0.864353,0.917623,0.821631,0.338424,441.64,qsar-biodeg,medium
TabICL,0.947761,0.927491,0.578484,0.127509,3.75,baseball,medium
LightGBM_TD,0.945274,0.908807,0.607868,0.305954,3.72,baseball,medium
XGBoost_TD,0.950249,0.918794,0.595508,0.190098,0.7,baseball,medium
CatBoost_TD,0.942786,0.9059,0.527351,0.167499,10.39,baseball,medium
AutoGluon_Default,0.947761,0.914083,0.62518,0.156433,607.44,baseball,medium
AutoGluon_Extreme,0.947761,0.922017,0.547152,0.153402,3599.69,baseball,medium
LightGBM_Tuned,0.947761,0.91002,0.560394,0.221334,179.44,baseball,medium
XGBoost_Tuned,0.947761,0.905062,0.578484,0.159634,76.31,baseball,medium
CatBoost_Tuned,0.942786,0.893383,0.559881,0.163344,286.65,baseball,medium
TabICL,0.625561,0.894975,0.042779,0.963705,5.5,yeast,medium
LightGBM_TD,0.58296,0.830581,0.000169,1.579183,2.21,yeast,medium
XGBoost_TD,0.616592,0.857712,0.041277,1.252909,0.92,yeast,medium
CatBoost_TD,0.596413,0.843954,0.034565,1.12003,5.93,yeast,medium
AutoGluon_Default,0.596413,0.879632,0.042377,1.067127,3123.44,yeast,medium
AutoGluon_Extreme,0.609865,0.892578,0.042689,1.014876,3632.91,yeast,medium
LightGBM_Tuned,0.580717,0.851791,0.000175,1.065765,538.79,yeast,medium
XGBoost_Tuned,0.598655,0.853081,0.041933,1.136692,318.45,yeast,medium
CatBoost_Tuned,0.59417,0.85668,0.032785,1.016596,346.0,yeast,medium
TabICL,0.965517,0.997115,0.959842,0.088144,2.54,splice,medium
LightGBM_TD,0.952978,0.995634,0.953466,0.151367,0.64,splice,medium
XGBoost_TD,0.958203,0.995991,0.956021,0.123753,0.31,splice,medium
CatBoost_TD,0.950888,0.995357,0.952107,0.130327,4.67,splice,medium
AutoGluon_Default,0.955068,0.994481,0.949006,0.286688,791.36,splice,medium
AutoGluon_Extreme,0.958203,0.995889,0.955234,0.17383,3622.97,splice,medium
LightGBM_Tuned,0.957158,0.99587,0.953778,0.161802,512.13,splice,medium
XGBoost_Tuned,0.963427,0.996064,0.960927,0.105045,101.55,splice,medium
CatBoost_Tuned,0.954023,0.995326,0.952574,0.117937,309.82,splice,medium
TabICL,0.778863,0.853195,0.77587,0.480507,83.28,Bioresponse,medium
LightGBM_TD,0.783304,0.861424,0.779572,0.489137,13.6,Bioresponse,medium
XGBoost_TD,0.788632,0.857216,0.785855,0.583326,0.7,Bioresponse,medium
CatBoost_TD,0.764654,0.858605,0.759053,0.472091,24.84,Bioresponse,medium
AutoGluon_Default,0.784192,0.865018,0.780354,0.462936,877.25,Bioresponse,medium
AutoGluon_Extreme,0.786856,0.867532,0.781959,0.453394,3625.11,Bioresponse,medium
LightGBM_Tuned,0.775311,0.860302,0.772277,0.866851,995.44,Bioresponse,medium
