model_a,model_b,p_a_worse,p_equivalent,p_a_better
AutoGluon_Default,AutoGluon_Extreme,0.0,0.98068,0.01932
AutoGluon_Default,CatBoost_TD,0.04216,0.95504,0.0028
AutoGluon_Default,CatBoost_Tuned,0.02936,0.96508,0.00556
AutoGluon_Default,LightGBM_TD,0.05174,0.94508,0.00318
AutoGluon_Default,LightGBM_Tuned,0.0008,0.99908,0.00012
AutoGluon_Default,TabICL,0.0,0.98782,0.01218
AutoGluon_Default,XGBoost_TD,0.35816,0.64178,6e-05
AutoGluon_Default,XGBoost_Tuned,0.00086,0.99906,8e-05
AutoGluon_Extreme,CatBoost_TD,0.15718,0.84282,0.0
AutoGluon_Extreme,CatBoost_Tuned,0.43034,0.56966,0.0
AutoGluon_Extreme,LightGBM_TD,0.43256,0.56744,0.0
AutoGluon_Extreme,LightGBM_Tuned,0.0728,0.9272,0.0
AutoGluon_Extreme,TabICL,0.0008,0.99918,2e-05
AutoGluon_Extreme,XGBoost_TD,0.66972,0.33028,0.0
AutoGluon_Extreme,XGBoost_Tuned,0.09272,0.90728,0.0
CatBoost_TD,CatBoost_Tuned,0.01222,0.9767,0.01108
CatBoost_TD,LightGBM_TD,0.00014,0.9994,0.00046
CatBoost_TD,LightGBM_Tuned,0.00048,0.99322,0.0063
CatBoost_TD,TabICL,4e-05,0.8646,0.13536
CatBoost_TD,XGBoost_TD,0.01586,0.984,0.00014
CatBoost_TD,XGBoost_Tuned,0.00156,0.99136,0.00708
CatBoost_Tuned,LightGBM_TD,0.03512,0.96464,0.00024
CatBoost_Tuned,LightGBM_Tuned,0.00112,0.99426,0.00462
CatBoost_Tuned,TabICL,0.0,0.76318,0.23682
CatBoost_Tuned,XGBoost_TD,0.07496,0.92424,0.0008
CatBoost_Tuned,XGBoost_Tuned,0.00066,0.99918,0.00016
LightGBM_TD,LightGBM_Tuned,0.0005,0.99094,0.00856
LightGBM_TD,TabICL,0.0,0.69232,0.30768
LightGBM_TD,XGBoost_TD,0.01646,0.9819,0.00164
LightGBM_TD,XGBoost_Tuned,0.00026,0.9926,0.00714
LightGBM_Tuned,TabICL,0.0,0.97266,0.02734
LightGBM_Tuned,XGBoost_TD,0.05266,0.94734,0.0
LightGBM_Tuned,XGBoost_Tuned,0.0001,0.99978,0.00012
TabICL,XGBoost_TD,0.42762,0.57238,0.0
TabICL,XGBoost_Tuned,0.1018,0.8982,0.0
XGBoost_TD,XGBoost_Tuned,0.0,0.94122,0.05878
